S. Prcić,24,Bosnia Herzegovina,74,CDM
B. Diawara,30,Senegal,68,ST
M. Parensen,32,Germany,67,LB
C. Baird,22,United States,68,ST
F. Nimani,29,France,66,ST
D. Milošević,23,Bosnia Herzegovina,70,CAM
D. Corcoran,29,Republic of Ireland,60,ST
D. Pratley,33,England,66,RCM
G. Karlen,23,Switzerland,63,RCM
M. Kos,21,Austria,56,GK
C. Marrugo,32,Colombia,73,CAM
V. Mantovani,22,Italy,68,RCB
V. Bora,23,Turkey,68,RM
K. Politz,22,United States,56,CB
L. Casanova,26,Chile,63,RCB
S. Roa,22,Colombia,64,RB
Castro,30,Portugal,74,CAM
S. Kaya,22,Turkey,59,ST
Jung Sung Ryong,33,Korea Republic,71,GK
I. Oblyakov,19,Russia,71,CM
N. Maturana,24,Chile,68,RW
C. Yambéré,27,Central African Rep.,70,CB
F. Bastians,30,Germany,74,LCB
M. Fallatah,30,Saudi Arabia,66,ST
Dani Romera,22,Spain,67,ST
Kiko Olivas,29,Spain,72,RCB
P. Ochs,21,Germany,66,LM
J. Yorwerth,23,Wales,63,CB
M. Simakan,18,France,58,CB
M. Mier,27,Uruguay,69,LM
J. Gómez,30,Colombia,63,RCM
H. Bernardello,31,Argentina,68,LDM
Han Kook Young,28,Korea Republic,64,CM
G. Puel,26,France,64,RB
M. Choinière,19,Canada,60,CAM
H. Delbridge,26,Australia,64,LCB
B. Mendy,23,France,81,LB
Vicente Gómez,29,Spain,76,LCM
E. Jónsson,29,Iceland,64,RCM
Park Jong Woo,29,Korea Republic,67,CM
A. Bobichon,22,France,68,CM
N. Vikonis,34,Uruguay,75,GK
Borja Valero,33,Spain,81,CAM
N. Uysal,27,Turkey,73,RCB
S. Tibbling,23,Sweden,73,LCM
D. Bronn,23,Tunisia,73,LCB
B. Allain,26,France,61,GK
A. Al Fahad,24,Saudi Arabia,64,RB
J. Baird,22,Scotland,63,CB
F. Cornejo,22,Chile,66,CM
E. Louro,22,United States,59,GK
I. Baldé,29,Senegal,73,ST
A. Majrashi,20,Saudi Arabia,60,CDM
F. Guichón,27,Uruguay,67,LM
C. Palomeque,24,Colombia,65,LM
S. Kono,25,Japan,60,CAM
S. Schonlau,23,Germany,69,LCB
N. Djouahra,18,France,57,CAM
J. Martin,28,France,76,LCM
A. Guira,30,Burkina Faso,64,CDM
H. Silveira,25,Uruguay,62,ST
Y. Suzuki,19,Japan,53,CM
C. Njie,24,Cameroon,74,ST
S. Prevljak,23,Bosnia Herzegovina,69,LS
Iván Jaime,17,Spain,59,CM
Patrick,24,Cape Verde,65,ST
R. Nouri,33,France,73,LM
F. Pasqualoni,21,Italy,59,CB
C. Lade,28,United States,67,RB
Y. Oki,18,Japan,55,GK
A. Ferati,20,Germany,63,CAM
A. Papadopoulos,33,Greece,68,LCB
E. Wearen,25,Republic of Ireland,55,RCM
S. Ganvoula,22,Congo,69,ST
S. Ichazo,26,Uruguay,64,GK
G. Sauro,28,Argentina,69,CB
S. Svenlén,18,Sweden,55,CB
J. Hugill,26,England,72,ST
O. Zinchenko,21,Ukraine,71,LB
Lee Seung Woo,20,Korea Republic,70,LW
M. Niang,23,Senegal,76,LW
Kim Min Tae,24,Korea Republic,61,CB
D. Bessa,25,Italy,72,CM
N. Blackman,28,England,66,RM
Ivo,31,Brazil,74,LCM
R. Augustyniak,24,Poland,65,CDM
O. Giroud,31,France,82,ST
L. López,24,Honduras,64,GK
Y. Abdelhamid,30,Morocco,72,LCB
J. Legear,31,Belgium,69,LM
Y. Magnin,21,France,56,CM
M. Jonjić,27,Croatia,71,RCB
M. Rits,24,Belgium,74,LM
C. Cásseres Jr,18,Venezuela,61,CM
M. Musacchio,27,Argentina,80,RCB
A. Nabbout,25,Australia,68,ST
L. O'Brien,19,England,58,LDM
V. Yurchenko,24,Ukraine,67,CM
Vigaray,23,Spain,72,RB
E. Bauthéac,30,France,74,RM
H. Adıgüzel,18,Turkey,61,CM
S. Murray,24,Republic of Ireland,63,CM
F. Cordero,30,Chile,69,LB
G. Fechner,20,Germany,65,CDM
S. Bose,22,India,58,LB
H. Ruíz,31,Mexico,65,RDM
Rodrigo Pinho,27,Brazil,70,ST
Yang Han Been,26,Korea Republic,70,GK
E. Baldini,21,Italy,63,LW
A. Bizzarri,40,Argentina,76,GK
N. Senoo,21,Japan,52,CAM
Zhang Yi,24,China PR,59,CM
